Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/Arcadia/Manuals/3D Attack.pdf,https://archive.org/download/mister-manuals/1982_Emerson%20Arcadia%202001.zip/1982_Emerson%20Arcadia%202001%2F3D%20Attack.pdf,1096350,1ca1e876d01a31a06f66d4ffa06e56d4,,,3D Attack.pdf
docs/Arcadia/Manuals/3D Bowling.pdf,https://archive.org/download/mister-manuals/1982_Emerson%20Arcadia%202001.zip/1982_Emerson%20Arcadia%202001%2F3D%20Bowling.pdf,477232,fe515ac371338b888c44f1a0b66b30df,,,3D Bowling.pdf
docs/Arcadia/Manuals/Alien Invaders.pdf,https://archive.org/download/mister-manuals/1982_Emerson%20Arcadia%202001.zip/1982_Emerson%20Arcadia%202001%2FAlien%20Invaders.pdf,161440,55b67c49c36c7c0f85554f21bc6d85ab,,,Alien Invaders.pdf
docs/Arcadia/Manuals/American Football.pdf,https://archive.org/download/mister-manuals/1982_Emerson%20Arcadia%202001.zip/1982_Emerson%20Arcadia%202001%2FAmerican%20Football.pdf,780331,ed44b5a170dfaf2330e2176376055137,,,American Football.pdf
docs/Arcadia/Manuals/Astro Invader.pdf,https://archive.org/download/mister-manuals/1982_Emerson%20Arcadia%202001.zip/1982_Emerson%20Arcadia%202001%2FAstro%20Invader.pdf,217030,60b372927704459962b37c475a009752,,,Astro Invader.pdf
docs/Arcadia/Manuals/Auto Race.pdf,https://archive.org/download/mister-manuals/1982_Emerson%20Arcadia%202001.zip/1982_Emerson%20Arcadia%202001%2FAuto%20Race.pdf,199421,a339d0781df1a542ab21826b26777b7f,,,Auto Race.pdf
docs/Arcadia/Manuals/Baseball.pdf,https://archive.org/download/mister-manuals/1982_Emerson%20Arcadia%202001.zip/1982_Emerson%20Arcadia%202001%2FBaseball.pdf,682727,d66272e5c8e386e762f2efa6c763526d,,,Baseball.pdf
docs/Arcadia/Manuals/Basketball.pdf,https://archive.org/download/mister-manuals/1982_Emerson%20Arcadia%202001.zip/1982_Emerson%20Arcadia%202001%2FBasketball.pdf,676916,19cfa70dcff5e03a3857333a5d957bc7,,,Basketball.pdf
docs/Arcadia/Manuals/Battle Los Angeles.pdf,https://archive.org/download/mister-manuals/1982_Emerson%20Arcadia%202001.zip/1982_Emerson%20Arcadia%202001%2FBattle%20Los%20Angeles.pdf,59582,800d2e9f24a99a95d7635d3637ddd64d,,,Battle Los Angeles.pdf
docs/Arcadia/Manuals/Black Jack & Poker.pdf,https://archive.org/download/mister-manuals/1982_Emerson%20Arcadia%202001.zip/1982_Emerson%20Arcadia%202001%2FBlack%20Jack%20%26%20Poker.pdf,807340,15ee68082b735fcc0a72234735f5a39a,,,Black Jack & Poker.pdf
docs/Arcadia/Manuals/Boxing.pdf,https://archive.org/download/mister-manuals/1982_Emerson%20Arcadia%202001.zip/1982_Emerson%20Arcadia%202001%2FBoxing.pdf,470179,82229a8ae454a949f9ccdf3f19a86ec1,,,Boxing.pdf
